run_time,distance,delta,axis1,axis2,axis3
1.422709942,0.489015568,285.8687199,54.87692965,-46.57702859,-144.874374
1.401612759,0.242493003,443.5824615,125.7703094,20.88522451,144.2327371
1.396499872,0.405163469,484.2472466,125.2983448,1.592308395,144.7027193
1.392785549,0.63209651,497.4281708,125.5365856,-56.76698556,144.4600398
1.386928082,0.58556037,310.6498243,53.17158625,-65.75759824,-143.1739509
1.386518955,0.30462975,423.6858743,125.8459993,6.482064433,144.1534352
1.385534286,0.583552983,487.6297189,125.6502483,-45.54344701,144.3517008
1.383271456,0.413510917,426.2897731,126.4409253,-29.64268784,143.559147
1.382554293,0.428393785,272.1221661,53.70830096,-47.6145824,-143.7047972
1.381805658,0.211982814,463.5957951,125.2633639,31.66383564,144.7299009
1.381390095,0.38065227,311.2233288,54.12909199,-8.656748272,-144.1289785
1.380074978,0.383538688,251.7317206,54.76803938,-29.87074301,-144.7701429
1.379271269,0.338443084,413.5985857,125.5818771,-23.49039079,144.4156003
1.378688574,0.196390228,235.9104911,54.29108517,11.87744336,-144.2833888
1.378438711,0.203461616,380.2356021,125.0696526,1.350839799,144.928832
1.378226757,0.222777514,371.5368703,125.2011145,0.813227712,144.7936128
1.37767148,0.448576876,483.8854346,126.0234671,-10.76400283,143.9732
1.376561642,0.25696243,383.4687533,125.3389779,-6.752383266,144.6557562
1.376219034,0.366684898,407.2215565,125.7934318,-13.91089817,144.2054072
1.376170397,0.42887202,420.9921802,125.1644266,-26.99556611,144.8325578
1.375962257,0.283566843,380.2803875,130.8940124,-2.693093071,139.103873
1.375390768,0.124662741,244.5951188,52.64684652,34.83468066,-142.6449555
1.373493433,0.474127357,488.2127355,125.6899512,-16.69335632,144.3088099
1.372533083,0.419869872,265.7812146,54.02075464,-34.53276252,-144.0177841
1.372339487,0.314745386,482.7112487,125.5487467,18.82388579,144.4449635
1.371917963,0.607792739,324.9689707,53.66543543,-73.9203761,-143.6613636
1.370274067,0.151214634,225.5648435,54.24854381,29.8096733,-144.2463085
1.36980629,0.358821653,402.9473893,126.2611478,-17.98128051,143.7349195
1.369478226,0.262071516,212.9070554,54.60007988,-16.97618239,-144.5928608
1.36871624,0.207545751,370.5261897,129.2362888,8.389648552,140.7621507
1.368516684,0.54998131,297.812674,53.79105173,-59.64474943,-143.7870984
1.368002653,0.305970828,389.0574791,125.2313566,-5.319067621,144.7616776
1.367979288,0.203809288,264.6146858,54.87184696,28.05430928,-144.8721535
1.367356062,0.365875293,410.9584965,125.3408266,-22.15595558,144.656526
1.367091417,0.538175586,489.0832119,125.0843132,-33.30013664,144.9172301
1.366960287,0.114332481,490.4623352,-118.9761155,1.152495278,144.9552527
1.365822792,0.577991925,476.2353047,128.2434607,-46.62180747,141.7556843
1.364954472,0.302584715,486.199615,126.1457768,22.04170606,143.8445398
1.364468813,0.222162244,378.8024188,125.9943445,-0.739693624,144.0067762
1.363921881,0.502085057,445.0984637,125.1030724,-39.20417024,144.8914222
1.36362052,0.498964903,495.4365999,128.8286508,-21.28357868,141.1735379
1.363570452,0.39631532,302.2986269,54.23415743,-16.20642286,-144.2229614
1.363339901,0.185574738,442.0480751,126.4131713,29.57569255,143.5788066
1.363317251,0.327433471,235.1764977,53.69840407,-29.16055241,-143.6923425
1.363099098,0.236286087,468.4501747,125.0654788,28.76105691,144.9337795
1.363027811,0.480296007,276.5455263,52.87772561,-50.65226603,-142.8729911
1.362886429,0.31656375,395.0524364,126.6347292,-14.20630571,143.368832
1.362722158,0.38188749,258.05668,54.88316138,-27.09460433,-144.8827702
1.362579823,0.408372454,284.1502239,53.96298618,-25.27575538,-143.9615474
1.362369061,0.386766242,245.9313582,52.93875473,-32.4595517,-142.9350199
1.362208128,0.314350848,227.0675571,53.21127823,-20.28705306,-143.2069186
1.362096548,0.497028756,465.9175658,125.9878518,-28.17857977,144.0102666
1.361706972,0.37987857,478.9424203,128.0969856,6.177534327,141.9022941
1.360967875,0.384287154,516.2604122,125.345558,13.02871001,144.6493691
1.360581875,0.116973834,196.204534,52.03814437,11.88864074,-142.0305664
1.36041832,0.273676488,469.6700687,131.5606126,23.06127771,138.43286
1.36039114,0.196485281,195.6393856,50.75503617,1.56593457,-140.7548819
1.360337257,0.307087599,520.5024336,127.1306888,31.68819358,142.860362
1.360121489,0.328490867,390.9997274,126.0530951,-12.1626559,143.9480779
1.359680653,0.526745229,462.917159,125.5306458,-36.85867735,144.474312
1.359574795,0.32850422,233.8245098,54.65210451,-27.51910058,-144.658532
1.358587503,0.607083641,481.2142235,125.5193191,-57.08947005,144.4833872
1.358351231,0.218844702,455.8521594,132.7464285,28.50015537,137.2529919
1.357951164,0.399065402,265.043932,51.36423364,-46.41039554,-141.3728652
1.35747242,0.076237832,419.1098011,126.5663281,16.38668636,143.4358942
1.357409954,0.431094934,471.741327,126.4331934,-9.175088606,143.5646241
1.357141733,0.564453622,477.5489116,125.4594025,-55.41843251,144.5400753
1.356893301,0.289638361,217.3163809,52.44182537,-21.48556805,-142.4362567
1.356554031,0.166263532,223.7289002,54.78001262,14.17420978,-144.7767522
1.355914116,0.191679116,373.881193,125.0788381,5.655169282,144.9179453
1.355698109,0.178107231,439.4423046,126.0921688,30.10867574,143.9004124
1.355365992,0.323108216,400.0027568,125.4575732,-5.287798228,144.5439055
1.355174303,0.147664177,392.8962503,128.574205,19.73928303,141.425978
