x,y,z
-0.086027318,0.298432126,0.16673464
-0.107253004,0.320313648,0.41387776
0.21123737,0.395347218,0.237486109
0.034213564,-0.187459508,0.056911268
0.169857234,-0.35453412,0.121853432
-0.113741415,0.219017741,0.093965964
0.116369764,-0.410477622,0.318981058
-0.26699203,0.052981518,0.471488245
-0.071197004,-0.371091154,0.317572697
-0.20694648,-0.065044958,0.32413237
0.028533635,-0.281180679,0.077863196
-0.132145255,-0.177826079,0.547130236
-0.112554607,0.190619538,0.238969298
-0.173944925,-0.115715688,0.263593998
-0.097382247,0.129761931,0.120304125
-0.145080027,-0.240627234,0.500810789
-0.080512547,0.224714412,0.578112091
-0.161903416,0.104343724,0.370041447
-0.282210506,0.036639083,0.402388288
0.029107514,-0.186915143,0.092471065
-0.263973739,-0.100822675,0.269493673
-0.210320569,0.149576445,0.439929512
-0.219532942,-0.132303947,0.393354488
-0.109200928,-0.049402783,0.183375637
-0.138684373,-0.352566847,0.447824855
-0.162683643,-0.284837273,0.43318277
0.100570603,-0.450826488,0.244577291
0.079722504,-0.372900726,0.096236341
-0.201654157,-0.245368226,0.285374167
-0.215363235,0.044810143,0.365218808
-0.115825828,0.185479096,0.105901091
-0.241525426,0.219730196,0.367026021
0.101600899,0.377125481,0.081308906
-0.263751034,-0.069222793,0.290951819
-0.068138353,-0.337524409,0.068829754
0.194207797,0.430921734,0.237452691
-0.001347216,0.406167395,0.230319199
-0.136929188,-0.045457221,0.168616383
-0.094370457,0.283878818,0.431322311
0.075965165,0.352042254,0.144156778
-0.048273701,0.382813906,0.353298367
-0.082470981,-0.23421627,0.569687049
-0.140743476,0.109446902,0.23696894
-0.175357844,-0.310138778,0.341036389
-0.180317847,0.232884724,0.515559464
-0.176347897,-0.323002837,0.251582857
-0.072304014,0.316645384,0.069145492
-0.100225396,0.058759838,0.11814023
0.041294681,-0.267055887,0.109470238
-0.220856885,-0.035609713,0.571413109
-0.19454065,0.068154277,0.461668086
-0.279858186,0.045244357,0.385900498
-0.151017693,0.21952668,0.112999146
-0.067211344,-0.280276452,0.079587812
-0.080230611,0.275708895,0.150190837
-0.013247603,-0.422968109,0.371932546
-0.161089399,-0.029513946,0.558521175
-0.056877503,-0.362757316,0.428076085
-0.244740619,-0.179687089,0.362563922
-0.153633687,-0.172014489,0.180895031
-0.011205888,0.120582733,0.118208896
-0.193085826,-0.254654154,0.410119539
-0.066507126,0.280153206,0.296045
-0.141574056,0.114008044,0.348610411
0.033315454,0.416281406,0.202846291
0.162079445,-0.422630257,0.263610334
0.349041362,0.284331182,0.066251451
-0.110396204,0.093083024,0.158673334
0.116912853,0.30945021,0.108287946
-0.088385058,-0.262679529,0.182401076
-0.010331107,0.372727578,0.099544449
0.195613449,0.399936794,0.28543806
-0.068820979,0.245704871,0.200388969
-0.196301159,-0.211262403,0.259651555
-0.143621427,-0.135569705,0.572715768
-0.229999542,0.123480713,0.456147125
-0.046714099,-0.334797846,0.476310467
0.033222008,-0.4284071,0.347676277
0.028612907,-0.227409426,0.072349366
0.116066508,0.409831535,0.287838865
-0.056965101,-0.225120888,0.141304609
-0.213324528,-0.062067565,0.335456665
-0.054861756,0.250395346,0.155094128
-0.116202302,-0.102984092,0.605524721
-0.15255454,0.295043808,0.286176782
-0.197464891,0.116293346,0.412482402
-0.068715292,0.271725897,0.123681871
0.020460108,0.437108218,0.257016874
-0.147085417,-0.211898782,0.191179567
-0.235498722,-0.213949769,0.307094811
-0.084926135,0.334480867,0.173835114
0.231685221,-0.408550108,0.187604018
-0.098091131,0.217991877,0.180537257
-0.227075185,-0.201464542,0.483985363
-0.230022069,0.250142058,0.345641046
-0.079783406,0.279754785,0.476960603
-0.161831393,0.144960777,0.511524578
0.07949024,0.255914509,0.081206853
-0.209532994,-0.20651413,0.216785663
-0.017230629,0.401964224,0.424801553
-0.029354533,-0.161792435,0.113869173
-0.098432441,-0.160359087,0.257322666
-0.174339924,-0.222383488,0.505012509
0.103108547,0.419258328,0.332727356
-0.279621893,0.11941705,0.405925566
-0.192859159,0.177687058,0.355151696
-0.223834599,-0.18732284,0.475578803
-0.219299865,-0.108912836,0.312426165
0.417466951,-0.203092246,0.064049743
-0.025618242,0.409536858,0.148914245
-0.168848295,-0.104803939,0.600459251
-0.175480943,-0.256158716,0.263253202
-0.157966548,0.185106108,0.549482389
-0.122758429,0.270918752,0.308647035
0.002375117,-0.209607439,0.05705635
-0.0690887,-0.26440239,0.559238701
-0.133945709,0.105209972,0.602774223
-0.190233021,0.084888175,0.586296383
0.193387154,0.356020341,0.070100039
-0.132697843,-0.256645646,0.326855081
-0.230289361,-0.132124804,0.500872447
-0.136531618,-0.333368217,0.330257947
-0.20163915,0.135585987,0.549226487
-0.195081697,0.160151351,0.378873444
-0.002464609,-0.30107284,0.143511439
-0.024654909,-0.35874812,0.293275462
-0.043893244,-0.161284692,0.119024691
0.034062573,-0.148414943,0.087088216
-0.169694361,-0.031420328,0.204770361
-0.219088213,-0.039682378,0.335474907
0.182676319,0.354054243,0.073424986
-0.121910922,-0.111320973,0.597564438
-0.008215332,-0.217166038,0.148633535
-0.013354387,0.280432203,0.169134822
0.038655569,0.295087095,0.070720336
0.000461396,0.381764061,0.413067209
-0.128891021,0.056753868,0.617505384
-0.053476241,-0.284301317,0.538185888
0.02067269,-0.3538758,0.215133291
-0.223867124,0.106016355,0.334399634
-0.018486367,-0.212504445,0.080560608
-0.0327036,0.300660381,0.203900175
-0.036415865,-0.139901348,0.077145408
-0.225407415,0.171333455,0.259619535
-0.040816996,0.401735298,0.286651437
-0.121396486,0.261204202,0.343038561
-0.174929656,0.101809484,0.372849188
-0.17955722,-0.237516152,0.52212707
-0.138766831,-0.290474295,0.429423943
-0.002945623,-0.35128561,0.052810745
-0.123431327,0.359974921,0.281685757
0.100069114,-0.414935484,0.300995387
-0.137102261,0.190143995,0.280529473
-0.182809392,-0.202181253,0.213212348
-0.02845747,-0.156764804,0.09458176
0.069681546,-0.392105548,0.341636185
-0.108171885,-0.04958299,0.621150868
-0.101080471,0.27145041,0.471983446
0.201875713,0.396445617,0.110711693
-0.011363717,-0.156410302,0.073360517
-0.165780139,-0.201793459,0.367745252
-0.195929364,0.215103788,0.360825331
-0.144512821,-0.105299248,0.203604152
-0.169630461,-0.126989709,0.587803059
-0.146446534,0.317076915,0.370281902
0.107364521,-0.442047863,0.199620869
-0.054174597,0.23935743,0.179591535
-0.202579313,0.151785047,0.38870098
-0.199100461,0.177526033,0.155596517
-0.013532885,-0.145707044,0.062846158
-0.193751556,-0.202086628,0.44372947
-0.14562023,-0.129512973,0.44346258
0.308133654,0.299766559,0.07744975
-0.224211137,0.05361892,0.446523766
-0.037970282,0.260072091,0.187867006
-0.115061886,-0.367617763,0.232361006
0.173928201,-0.418090147,0.139801299
-0.058847493,-0.376964628,0.26776839
-0.088166762,0.361326227,0.383328985
-0.151459347,-0.229883642,0.501533846
-0.17115589,0.138023873,0.486730568
-0.065075854,-0.161118266,0.080408062
-0.24760381,-0.213888742,0.266501332
-0.146128591,-0.33592788,0.461664327
-0.137867928,0.238268841,0.219462915
0.218601055,0.388185199,0.227367265
-0.221728534,0.293310035,0.392475963
-0.094158938,-0.103145589,0.196994987
-0.137486667,-0.275896278,0.473779902
-0.082240489,-0.329738759,0.109491442
-0.098498291,-0.263079782,0.180124324
-0.090778789,0.275661893,0.211159674
-0.017883274,0.147101103,0.12029763
0.221802117,-0.387267713,0.127693338
-0.027480201,0.115698215,0.059997639
-0.114198447,-0.126958792,0.574660936
-0.182363504,0.079873915,0.537806772
-0.037321391,-0.171577438,0.172615833
-0.182487337,0.215758703,0.314957255
-0.209202705,-0.182293402,0.476944907
-0.130675675,-0.164410424,0.54101049
-0.202822001,0.105002539,0.456724762
0.024965044,0.276244411,0.05368583
0.019225781,-0.346862015,0.150867232
-0.047460505,-0.297904249,0.156400956
-0.157531294,-0.241191384,0.499749915
-0.276557255,-0.111253165,0.354868979
-0.060592205,0.312466884,0.461477371
-0.116201323,-0.146128804,0.17801914
-0.014606857,0.263802115,0.056700759
-0.010240355,0.441165554,0.224359294
-0.099495074,-0.290599823,0.395171975
0.148986233,0.435705271,0.193956499
-0.231761803,-0.179979282,0.27297937
-0.155881967,0.182165437,0.511595276
-0.190576309,-0.250406523,0.291132047
0.031077882,-0.428971375,0.234661021
0.003347918,-0.392531105,0.172417748
-0.098587934,0.228116606,0.197415558
0.021325008,0.386195933,0.121862045
-0.183056824,0.124402903,0.28414592
-0.18363675,0.140771577,0.4326689
-0.254838686,0.067046781,0.426292145
-0.027348229,-0.292066327,0.184700136
-0.006568848,-0.222318415,0.061307759
0.003777609,0.182297129,0.079485471
-0.228570534,-0.177315412,0.246647064
-0.100947067,-0.404994004,0.266359095
0.094001256,-0.299362712,0.061723725
-0.159909349,0.225511067,0.54406126
-0.04229803,0.283837002,0.170686502
-0.118644687,-0.282768477,0.499437096
-0.061191013,0.281308043,0.055579659
0.147928946,-0.4044261,0.208813399
-0.212783878,0.039507231,0.461493714
-0.189858656,-0.117370738,0.313469406
-0.232710807,-0.136590142,0.355278615
-0.090103664,-0.298171855,0.471743508
-0.081629364,0.316605556,0.441413678
-0.14415692,0.310568689,0.488038752
-0.280698178,-0.222961635,0.334555582
0.026252522,-0.142689184,0.074466414
-0.131527067,0.255002175,0.476623276
0.069615278,-0.438263416,0.329970832
-0.026078906,0.339944568,0.479408539
0.019573213,0.314427779,0.118677876
-0.011056745,-0.208825894,0.103973809
0.082424012,-0.462353287,0.260035334
-0.181515649,0.044848972,0.49837898
-0.137036002,-0.262577292,0.51130737
0.094224422,0.399170105,0.221008657
0.023288472,0.153438773,0.052768166
-0.209869306,-0.209866752,0.27613125
-0.218300263,0.184336105,0.275621348
-0.247537967,0.208992537,0.326661867
0.231912946,-0.390345331,0.096795079
0.058730949,-0.188194104,0.05122474
-0.209400281,-0.184145585,0.211881228
-0.074395093,-0.147689658,0.130841733
-0.005244018,0.315818652,0.050123263
-0.040335798,0.140606615,0.127019073
-0.161430042,-0.156121323,0.38004173
0.075635636,0.43698854,0.333045238
-0.194331544,-0.30631574,0.268975529
0.071109129,0.394476825,0.151922995
-0.195883583,-0.100517259,0.236177174
-0.03736679,-0.400486602,0.409721106
-0.132733305,0.381526288,0.20267492
-0.034406839,-0.20302044,0.174823975
0.07753473,0.184827781,0.057501024
-0.177685995,-0.193888414,0.543474319
-0.2081862,0.142252569,0.480870511
0.034137091,-0.37835953,0.173379081
-0.080560621,-0.230984968,0.087079796
0.106314968,-0.310566661,0.079713801
-0.265797314,-0.052965931,0.366924561
-0.221109123,0.126529127,0.38852077
-0.000874066,0.135427494,0.050514511
0.098606644,0.418658998,0.190780508
-0.238291058,0.152895114,0.388422172
-0.090363596,-0.143427258,0.073207263
-0.143084004,0.249443361,0.482347203
0.089128352,-0.370510135,0.095786977
-0.087379231,0.338826069,0.476160589
-0.08317366,0.120395129,0.105378611
-0.049664802,-0.228923325,0.169962723
0.013657075,0.31295885,0.127690164
0.242324947,-0.288358425,0.051820552
-0.039509639,0.315903874,0.126671523
-0.114145749,0.186925699,0.582982317
-0.083441236,-0.377760004,0.265323558
-0.165748658,-0.080259707,0.491886802
0.159415445,-0.341168033,0.063187445
0.188889872,-0.421923853,0.28116234
-0.055882362,-0.240883617,0.165948293
-0.206692393,0.257149341,0.366059258
-0.114311736,0.3115739,0.502267211
-0.082852053,0.221590943,0.56570041
-0.041145899,0.226317239,0.071949171
-0.046818051,0.161084379,0.121662718
0.093738389,-0.414667455,0.196652998
-0.191613257,0.198236328,0.161547769
-0.035987656,-0.212121226,0.11924099
-0.223600747,0.162793602,0.352613056
-0.257933426,0.155214593,0.358081772
0.028865773,0.399194654,0.334955951
-0.011050428,-0.239154398,0.129416255
-0.122621698,-0.283776197,0.463296824
-0.185375911,0.286998025,0.284600137
-0.113612233,0.281747655,0.506640259
-0.190218332,0.269194061,0.418726051
-0.217304725,0.199347182,0.410034772
0.081408514,0.384173519,0.176051406
-0.262693561,0.09529995,0.407439522
0.114831549,0.412121194,0.262432727
-0.120776101,0.194919528,0.153918572
-0.119280182,0.26117706,0.251094127
-0.093525614,-0.35306668,0.208102277
-0.189195717,-0.299745914,0.40616634
0.141894514,-0.341224265,0.065892644
-0.23606204,0.134059863,0.311471643
-0.196214117,-0.251923297,0.469922979
-0.107316956,-0.213434334,0.575255087
-0.202592565,-0.233580687,0.516080399
-0.058579942,0.078944441,0.146675153
-0.051915706,-0.386144048,0.386750918
-0.092878318,0.390141243,0.338504938
-0.079027745,0.374645542,0.448840405
0.324719438,-0.304769035,0.083497743
-0.273567899,0.082143224,0.276415543
-0.141597656,0.096284738,0.593838555
-0.14363642,0.268504609,0.501144851
-0.175705957,0.160515454,0.546811341
-0.11126334,0.096471764,0.602361101
-0.122930611,0.147294709,0.57760902
0.031948062,-0.389512889,0.128326054
0.097486996,0.415212006,0.101164796
0.265634975,-0.287641937,0.052603407
-0.152961841,-0.245538753,0.263944708
0.080923753,0.26433933,0.063536088
-0.226936499,0.101390744,0.2548978
-0.170152385,-0.249346802,0.340827735
0.011726388,-0.355602159,0.086698252
-0.189476246,-0.034122106,0.334701707
0.011716965,0.38636729,0.445202804
-0.111079309,-0.085101328,0.222004621
-0.236577541,-0.103359332,0.501920044
