x,y,z
0.180546536,0.031953046,0.178129354
0.086500255,0.185786021,0.259723014
0.053357772,-0.03724011,0.622156935
0.190359152,0.125014369,0.106896787
0.286432279,-0.271546931,0.227734243
0.337925696,0.073473062,0.053937498
0.147571964,-0.02687256,0.132811166
0.090162834,0.107473371,0.346960073
0.196729107,-0.171095974,0.259772502
0.003442439,-0.011141553,0.62400809
-0.003936484,0.214829025,0.364181712
0.088270445,-0.129244997,0.607815964
0.019654998,0.015854442,0.568993296
0.048651077,-0.099041294,0.578903977
0.115062143,0.028925346,0.151944201
0.197917155,-0.051430912,0.153373583
-0.01584461,-0.012295297,0.638245348
0.092050399,-0.17336218,0.315739161
0.403731639,-0.107580488,0.113735002
0.002681748,0.110133806,0.584144364
0.036510964,-0.04488205,0.591729685
0.131022226,-0.23253467,0.316924366
-0.00472923,-0.003310058,0.638466364
0.170432137,-0.246674483,0.218369441
0.024957708,-0.084056161,0.596870334
0.012230256,-0.19317888,0.523282516
0.021882359,0.001443065,0.564245987
0.346473145,0.095169834,0.071335002
0.049017014,-0.016396208,0.630520896
0.19320285,-0.180631456,0.234559594
0.074621657,0.239851135,0.361360999
0.214719285,-0.245972437,0.229844869
0.158059795,0.242600806,0.199358495
0.118801214,-0.018933719,0.623386522
0.202432382,0.203343433,0.1891769
0.036439291,0.023506553,0.642717466
0.157999644,-0.283260686,0.491146452
0.10690686,0.006721152,0.160981834
0.084222835,0.234575958,0.295038836
0.014928513,-0.046509458,0.634818534
0.094024591,-0.10584539,0.197872425
0.170358943,-0.110059949,0.210781007
0.056559924,-0.129455336,0.327189602
0.368877649,0.235949519,0.2413631
0.010279719,0.00792327,0.619733739
0.018073651,0.0633544,0.632459698
0.023072151,0.05022421,0.536466925
0.064424388,0.037756582,0.634851232
0.041740103,0.033235625,0.613182781
0.050573063,0.034219269,0.571058538
0.101485723,0.135921448,0.568952608
0.004517041,-0.242984368,0.405256548
-0.033870226,0.00524199,0.610934287
0.068909349,-0.136035646,0.616118818
-0.012501794,0.002568967,0.645356477
0.128919453,-0.170090157,0.222038253
0.172696729,0.042055513,0.13963249
0.054753493,-0.04047578,0.630929404
0.196061293,0.291627539,0.399810196
0.035707102,0.182785257,0.522428026
0.010062096,0.017573711,0.571020611
0.157725071,-0.014845332,0.206976852
0.160029431,-0.319317658,0.262229609
0.094781817,-0.141497702,0.612537106
0.443378125,-0.024933204,0.28207389
0.140848446,-0.112015413,0.146361809
0.037869881,-0.197425386,0.575433338
0.037251483,0.239141308,0.377435154
0.113406988,-0.021887172,0.164550973
0.373646985,-0.00700177,0.064801901
0.170471113,-0.232662335,0.457245424
0.23122958,-0.124514306,0.185745308
0.159569019,-0.287431847,0.426731071
0.019337729,0.000779388,0.640204381
0.329502902,-0.247153135,0.308921407
0.061223909,0.252175409,0.311545565
0.047895308,0.261760663,0.391495831
0.058470775,-0.050353536,0.605573643
0.057589239,-0.015500066,0.628409541
0.064071205,-0.004194845,0.617857442
0.152044457,0.18498417,0.558373024
0.038766519,-0.015947664,0.560065099
-0.024189657,0.009393257,0.59624288
0.034780292,0.00227805,0.553525974
0.082894983,0.27890228,0.451678208
0.149719977,-0.306055212,0.239549503
0.096188827,0.152152217,0.588797272
0.07105117,0.116092295,0.496444759
0.219547739,-0.269941857,0.263587385
0.333393792,0.140170946,0.08345267
0.114031237,0.131507353,0.234984255
0.109588331,-0.189232981,0.398674496
0.172157527,-0.187088802,0.155498544
0.4312758,-0.095790679,0.186077009
0.086229178,0.008299727,0.612508376
0.014235634,0.170847264,0.411061295
0.19138394,-0.254553365,0.312764876
0.138235865,-0.011966658,0.094038828
0.041375395,0.039081578,0.606940614
0.008225671,0.016111318,0.62183965
0.407235822,0.133302665,0.13773792
0.295229991,-0.189519961,0.149574096
0.058292191,0.254172048,0.400254454
0.003975264,0.045831085,0.569309835
0.099785956,-0.28822988,0.362318243
0.233343668,-0.078522651,0.122586679
0.347962806,-0.115461311,0.197134784
0.119539431,0.155616727,0.152468244
0.136672305,-0.199699819,0.562097421
0.390235395,0.008916167,0.178750561
0.138064659,-0.074872865,0.612324848
0.16012237,-0.052805778,0.16413917
0.055861282,0.044591212,0.64026142
0.079539368,-0.123788874,0.185904903
-0.039319308,0.009091134,0.620165621
0.127944729,0.239334671,0.500379841
0.178520923,-0.078567502,0.217670806
0.047154564,0.182872541,0.462536824
0.031458966,-0.226890748,0.400589652
0.058315302,-0.060996752,0.63465466
-0.037263133,-0.168023665,0.533367201
0.245246378,-0.263049152,0.436584443
0.209302563,0.109402028,0.167729601
-0.072716014,-0.007251713,0.628387405
0.030570464,-0.015068505,0.59879717
0.01773824,0.020555122,0.619654673
0.098401196,0.262253816,0.513993636
0.174993611,0.053824618,0.162441702
0.026695088,0.015539491,0.588296246
0.325999697,-0.056138932,0.155369724
0.053384703,0.202621506,0.556052718
0.390914912,0.138375594,0.18938829
0.114207647,0.106620405,0.351680954
0.033778764,-0.005415526,0.592972463
0.001390186,-0.024269103,0.59223247
0.367290316,0.09928123,0.129919119
0.131378418,-0.220447555,0.258632297
0.04334026,0.076028576,0.627621257
0.144186012,-0.027088911,0.147044617
0.426736067,0.023569763,0.179449653
0.0271147,-0.0040215,0.623273493
0.353486403,-0.212780679,0.30379087
0.306341856,-0.140027644,0.074437675
0.125679668,0.122561473,0.588666262
0.117640106,0.085448486,0.16874952
0.06184395,0.106418089,0.264376582
-0.004706728,-0.006103673,0.633313271
0.41352205,0.007559449,0.209269499
0.397941109,0.187564119,0.178636825
0.429120444,-0.070660209,0.280685672
0.308895582,-0.239748746,0.265026774
-0.020513908,0.004670765,0.60960936
-0.026352023,-0.009657375,0.624592558
0.194843057,-0.105332779,0.105313988
0.104957872,-0.193876936,0.285609691
0.388450527,0.222397768,0.318210252
0.126966387,0.025477238,0.140516349
0.026711997,0.267518214,0.383331908
0.167719754,0.341594043,0.320767247
0.151682566,-0.239989734,0.350844536
-0.058090239,-0.032315874,0.623754069
0.305262991,0.111459007,0.143970739
0.160473315,-0.136982884,0.22857724
0.110137126,-0.034106554,0.163015327
0.305290128,0.170959866,0.054160587
0.12149126,-0.106684024,0.566948183
0.4605754,0.023190811,0.156093417
0.050892116,0.005228407,0.641675515
-0.029190516,-0.249521994,0.378854326
0.145911963,-0.072814596,0.182143122
0.067730557,0.175605453,0.596709947
0.047806903,-0.061266626,0.587242258
0.013842447,0.036585322,0.59423159
0.1719943,0.332135503,0.378568147
0.246377269,0.170234185,0.2348537
0.308287401,-0.234671691,0.173085718
0.311598009,0.213124996,0.257400612
0.064965568,-0.005854554,0.619471192
0.044822249,0.144653888,0.488551753
0.14180327,0.167916219,0.212030191
0.383134626,-0.13166968,0.069167921
0.195429673,-0.025099214,0.103060377
0.073384291,0.148661858,0.240142487
0.213968978,-0.264622278,0.275443924
0.157411589,-0.081143487,0.191679777
0.317523642,-0.061214195,0.196553598
0.044915078,0.220167408,0.272472345
0.000291024,0.000932051,0.638548825
0.015744636,-0.000940595,0.601241625
0.070712045,0.024960268,0.611499845
0.141377232,-0.035258287,0.133039043
0.186003339,0.054471412,0.179879898
0.048682665,0.016304368,0.585772976
0.11288955,-0.193487072,0.570407974
0.123597306,-0.057422005,0.305263828
-0.01888331,0.215470366,0.512319682
0.048524184,-0.031309489,0.575789847
0.345809716,-0.164159891,0.11058964
0.059688964,-0.168859783,0.497343388
0.088484866,-0.281075848,0.369602978
0.134286866,-0.208956019,0.172542367
0.07878292,-0.012226026,0.620162269
0.361195618,0.059462674,0.174873306
0.082543917,-0.175857316,0.529590761
0.111837606,0.055952047,0.123407982
-0.020245139,-0.204655348,0.488184833
0.035505119,0.007282486,0.596630984
0.107337881,-0.231293848,0.342334769
0.26752216,-0.260247392,0.170099537
0.142258485,0.066154732,0.128888277
0.066290451,0.121010961,0.598249933
0.069725406,0.11267075,0.62422573
0.117207072,-0.234083598,0.450585207
0.092253675,0.166528688,0.595459457
0.455460054,-0.035169306,0.266486358
0.118308216,0.252127141,0.335517364
0.091238872,0.263424519,0.474915345
0.077164494,-0.086377537,0.618288651
0.022508302,0.034406436,0.567921157
0.029908937,0.170178598,0.591543805
-0.007915085,0.006306151,0.625400668
0.126787809,0.051521124,0.236941519
0.060790439,-0.055962398,0.602306318
-0.06275482,0.022783339,0.622958349
-0.039785803,0.003183116,0.602308959
-0.029168344,-0.005217258,0.630723067
0.202477768,-0.275699897,0.436562643
0.233958709,-0.266746336,0.236028059
0.080484884,0.139380076,0.295998668
-0.002399616,0.031536941,0.61102902
0.151531724,0.109275687,0.258684481
0.217348386,0.257690997,0.435563012
0.059795091,-0.136461865,0.494947551
0.043132827,0.225650863,0.344066714
0.167542752,0.100799293,0.113630026
0.164848757,0.287050998,0.472139341
0.141628081,-0.056601879,0.125830104
0.009205265,-0.006260156,0.600218858
0.228100736,0.251181048,0.223078023
0.158063766,-0.267717407,0.502643087
0.178897949,0.218468001,0.30810158
0.271856345,-0.022519333,0.057760533
0.293292163,0.022405998,0.053904143
-0.031692899,0.002847138,0.639593071
0.042390933,-0.079485923,0.493374501
-0.042846936,-0.021245375,0.604154292
0.146052174,-0.078171528,0.214455504
0.069543066,0.103431983,0.612260901
0.159460945,0.162602632,0.190941773
0.237726789,0.170133412,0.139502576
0.319972674,0.220793658,0.160427167
0.003207525,0.117355992,0.526427605
-0.011512869,0.007390912,0.642260107
0.181872039,0.094058927,0.14778847
0.110216753,-0.120700409,0.603741824
