x,y,z
0.327730419,0.030453755,0.387092828
0.172301719,-0.043171955,0.600348786
0.188727514,0.021216757,0.308811052
0.323414479,-0.096504201,0.3121105
0.371441963,-0.081797095,0.312217869
0.251760147,-0.033431764,0.299673667
0.202414553,-0.000630793,0.225765384
0.22667155,-0.002273643,0.201862138
0.183007369,-0.153722488,0.327913813
0.240770576,0.168538511,0.33886314
0.274220362,0.130130907,0.31464218
0.207567435,0.00341394,0.360593846
0.258766133,0.118082337,0.481649837
0.14062598,-0.048697039,0.345250132
0.267691419,0.096191887,0.392130624
0.335062793,-0.022954345,0.480624658
0.094306287,0.05834359,0.488271744
0.379553219,-0.080010893,0.38881243
0.389602279,0.009558432,0.380744175
0.159215809,-0.045319195,0.580061827
0.262208711,0.052934506,0.36747
0.162535309,0.011203866,0.577284424
0.376229263,-0.098285863,0.319103713
0.265730258,-0.007871825,0.249820972
0.164519166,-0.091599593,0.546878935
0.304617347,-0.017337794,0.328662718
0.367143545,0.060363348,0.325871608
0.245018046,-0.111071615,0.405898103
0.142744612,-0.022989991,0.29008937
0.340428174,0.033583725,0.334847722
0.369472685,0.031669622,0.447011874
0.335974,0.142488717,0.470056108
0.175137536,-0.006254177,0.319409597
0.167041407,0.105857594,0.331470614
0.336936963,0.012166047,0.215972265
0.175881273,0.003372046,0.291939248
0.134961948,0.140284361,0.487222261
0.248735561,-0.037829521,0.469998394
0.353318831,-0.028281756,0.450916954
0.256925122,0.080340893,0.429444161
0.360968526,0.118756859,0.330753461
0.290592878,-0.045793446,0.337834779
0.142214077,-0.026870533,0.424631434
0.222092158,0.113361991,0.549148536
0.233312398,0.008785302,0.534476294
0.174219732,-0.037670283,0.594752781
0.296326979,-0.033562155,0.232523444
0.315032932,0.040246119,0.201072695
0.200771236,-0.015952428,0.56540743
0.179538866,-0.076773929,0.524611892
0.285078331,0.135345033,0.440087956
0.23178933,-0.176722108,0.49354074
0.369515491,0.121005548,0.262708107
0.353758894,0.012072828,0.455716749
0.288856543,-0.086534884,0.284131059
0.096030256,0.065703152,0.531530483
