episode,Success,Replay Memory,total numsteps,level
3330,1,223027,223027,0
3331,1,223044,223044,0
3332,1,223053,223053,0
3333,0,223074,223074,0
3334,1,1,223075,1
3335,1,17,223091,1
3336,1,30,223104,1
3337,0,60,223134,1
3338,0,316,223390,1
3339,0,343,223417,1
3340,0,367,223441,1
3341,1,373,223447,1
3342,1,395,223469,1
3343,0,651,223725,1
3344,1,657,223731,1
3345,0,913,223987,1
3346,0,1169,224243,1
3347,0,1205,224279,1
3348,1,1223,224297,1
3349,0,1250,224324,1
3350,1,1264,224338,1
3351,1,1289,224363,1
3352,0,1545,224619,1
3353,1,1587,224661,1
3354,1,1603,224677,1
3355,0,1641,224715,1
3356,0,1897,224971,1
3357,0,2153,225227,1
3358,0,2409,225483,1
3359,1,2429,225503,1
3360,0,2451,225525,1
3361,0,2707,225781,1
3362,0,2963,226037,1
3363,1,2974,226048,1
3364,0,3230,226304,1
3365,0,3253,226327,1
3366,0,3338,226412,1
3367,1,3351,226425,1
3368,0,3607,226681,1
3369,0,3647,226721,1
3370,0,3683,226757,1
3371,0,3708,226782,1
3372,0,3731,226805,1
3373,0,3755,226829,1
3374,1,3763,226837,1
3375,0,3811,226885,1
3376,0,3832,226906,1
3377,1,3838,226912,1
3378,0,3870,226944,1
3379,0,3899,226973,1
3380,0,4155,227229,1
3381,0,4411,227485,1
3382,0,4667,227741,1
3383,0,4685,227759,1
3384,1,4697,227771,1
3385,0,4726,227800,1
3386,0,4741,227815,1
3387,0,4763,227837,1
3388,1,4788,227862,1
3389,0,4804,227878,1
3390,0,5060,228134,1
3391,0,5077,228151,1
3392,0,5093,228167,1
3393,1,5100,228174,1
3394,0,5356,228430,1
3395,0,5377,228451,1
3396,1,5398,228472,1
3397,0,5421,228495,1
3398,0,5436,228510,1
3399,0,5692,228766,1
3400,0,5948,229022,1
3401,0,6204,229278,1
3402,0,6460,229534,1
3403,0,6716,229790,1
3404,0,6741,229815,1
3405,0,6997,230071,1
3406,1,7152,230226,1
3407,0,7192,230266,1
3408,0,7215,230289,1
3409,0,7471,230545,1
3410,0,7727,230801,1
3411,0,7983,231057,1
3412,0,8239,231313,1
3413,0,8495,231569,1
3414,0,8511,231585,1
3415,1,8522,231596,1
3416,0,8778,231852,1
3417,0,8798,231872,1
3418,0,9054,232128,1
3419,0,9310,232384,1
3420,0,9337,232411,1
3421,0,9354,232428,1
3422,1,9473,232547,1
3423,0,9497,232571,1
3424,0,9753,232827,1
3425,0,10009,233083,1
3426,0,10265,233339,1
3427,0,10521,233595,1
3428,1,10533,233607,1
3429,0,10591,233665,1
3430,0,10847,233921,1
3431,1,10864,233938,1
3432,1,10902,233976,1
3433,0,11158,234232,1
3434,1,11170,234244,1
3435,0,11426,234500,1
3436,0,11449,234523,1
3437,0,11486,234560,1
3438,0,11742,234816,1
3439,1,11841,234915,1
3440,0,11857,234931,1
3441,0,11889,234963,1
3442,0,11932,235006,1
3443,0,12188,235262,1
3444,0,12205,235279,1
3445,1,12222,235296,1
3446,0,12245,235319,1
3447,1,12260,235334,1
3448,0,12283,235357,1
3449,1,12304,235378,1
3450,1,12388,235462,1
3451,0,12644,235718,1
3452,0,12828,235902,1
3453,0,12850,235924,1
3454,0,12887,235961,1
3455,0,13143,236217,1
3456,0,13176,236250,1
3457,0,13194,236268,1
3458,1,13206,236280,1
3459,0,13232,236306,1
3460,0,13488,236562,1
3461,0,13744,236818,1
3462,0,14000,237074,1
3463,0,14020,237094,1
3464,0,14035,237109,1
3465,0,14291,237365,1
3466,0,14317,237391,1
3467,0,14573,237647,1
3468,0,14595,237669,1
3469,0,14851,237925,1
3470,0,15107,238181,1
3471,0,15131,238205,1
3472,0,15387,238461,1
3473,0,15409,238483,1
3474,0,15665,238739,1
3475,1,15678,238752,1
3476,0,15934,239008,1
3477,0,16190,239264,1
3478,0,16446,239520,1
3479,0,16482,239556,1
3480,0,16521,239595,1
3481,0,16536,239610,1
3482,0,16792,239866,1
3483,0,16824,239898,1
3484,0,17080,240154,1
3485,0,17336,240410,1
3486,0,17592,240666,1
3487,0,17848,240922,1
3488,1,17858,240932,1
3489,0,18114,241188,1
3490,0,18128,241202,1
3491,0,18384,241458,1
3492,0,18640,241714,1
3493,0,18661,241735,1
3494,0,18680,241754,1
3495,0,18936,242010,1
3496,0,19192,242266,1
3497,0,19448,242522,1
3498,0,19463,242537,1
3499,1,19501,242575,1
3500,0,19757,242831,1
3501,0,19828,242902,1
3502,1,19837,242911,1
3503,0,20093,243167,1
3504,0,20349,243423,1
3505,0,20373,243447,1
3506,0,20392,243466,1
3507,1,20416,243490,1
3508,0,20672,243746,1
3509,0,20928,244002,1
3510,0,21184,244258,1
3511,1,21194,244268,1
3512,0,21212,244286,1
3513,1,21230,244304,1
3514,0,21254,244328,1
3515,1,21269,244343,1
3516,0,21525,244599,1
3517,0,21781,244855,1
3518,0,22037,245111,1
3519,0,22293,245367,1
3520,0,22549,245623,1
3521,0,22579,245653,1
3522,0,22835,245909,1
3523,1,22851,245925,1
3524,0,22976,246050,1
3525,0,22992,246066,1
3526,0,23011,246085,1
3527,0,23267,246341,1
3528,0,23523,246597,1
3529,0,23779,246853,1
3530,0,23900,246974,1
3531,0,23938,247012,1
3532,0,24194,247268,1
3533,0,24450,247524,1
3534,0,24706,247780,1
3535,1,24708,247782,1
3536,0,24964,248038,1
3537,0,25220,248294,1
3538,0,25476,248550,1
3539,0,25494,248568,1
3540,0,25669,248743,1
3541,0,25925,248999,1
3542,0,25940,249014,1
3543,0,26196,249270,1
3544,0,26216,249290,1
3545,0,26247,249321,1
3546,0,26503,249577,1
3547,0,26759,249833,1
3548,0,27015,250089,1
3549,0,27033,250107,1
3550,0,27289,250363,1
3551,0,27545,250619,1
3552,1,27561,250635,1
3553,1,27575,250649,1
3554,0,27831,250905,1
3555,0,28087,251161,1
3556,0,28104,251178,1
3557,0,28360,251434,1
3558,0,28616,251690,1
3559,0,28872,251946,1
3560,0,28890,251964,1
3561,1,28977,252051,1
3562,1,28990,252064,1
3563,0,29009,252083,1
3564,0,29265,252339,1
3565,1,29270,252344,1
3566,1,29282,252356,1
3567,0,29538,252612,1
3568,0,29794,252868,1
3569,1,29799,252873,1
3570,0,29822,252896,1
3571,1,29839,252913,1
3572,0,30095,253169,1
3573,1,30097,253171,1
3574,0,30119,253193,1
3575,0,30135,253209,1
3576,1,30142,253216,1
3577,0,30162,253236,1
3578,0,30180,253254,1
3579,0,30436,253510,1
3580,0,30692,253766,1
3581,0,30904,253978,1
3582,1,30918,253992,1
3583,0,31174,254248,1
3584,0,31220,254294,1
3585,0,31239,254313,1
3586,0,31278,254352,1
3587,0,31534,254608,1
3588,0,31790,254864,1
3589,0,31831,254905,1
3590,1,31971,255045,1
3591,0,31994,255068,1
3592,0,32020,255094,1
3593,0,32276,255350,1
3594,0,32532,255606,1
3595,0,32711,255785,1
3596,0,32967,256041,1
3597,0,32982,256056,1
3598,0,33238,256312,1
3599,0,33494,256568,1
3600,1,33499,256573,1
3601,0,33755,256829,1
3602,1,33848,256922,1
3603,0,33879,256953,1
3604,0,33894,256968,1
3605,0,34150,257224,1
3606,0,34406,257480,1
3607,0,34422,257496,1
3608,0,34444,257518,1
3609,0,34700,257774,1
3610,1,34715,257789,1
3611,0,34971,258045,1
3612,0,34998,258072,1
3613,0,35254,258328,1
3614,0,35269,258343,1
3615,0,35288,258362,1
3616,1,35298,258372,1
3617,0,35554,258628,1
3618,0,35810,258884,1
3619,0,35825,258899,1
3620,0,35843,258917,1
3621,0,36099,259173,1
3622,1,36112,259186,1
3623,0,36126,259200,1
3624,0,36150,259224,1
3625,0,36406,259480,1
3626,0,36662,259736,1
3627,0,36684,259758,1
3628,0,36699,259773,1
3629,0,36713,259787,1
3630,0,36969,260043,1
3631,1,36978,260052,1
3632,0,37234,260308,1
3633,0,37249,260323,1
3634,0,37505,260579,1
3635,0,37761,260835,1
3636,0,37786,260860,1
3637,1,37938,261012,1
3638,0,38194,261268,1
3639,0,38450,261524,1
3640,0,38466,261540,1
3641,0,38722,261796,1
3642,0,38737,261811,1
3643,0,38993,262067,1
3644,0,39249,262323,1
3645,0,39505,262579,1
3646,0,39557,262631,1
3647,1,39563,262637,1
3648,0,39819,262893,1
3649,0,40075,263149,1
3650,0,40331,263405,1
3651,1,40343,263417,1
3652,0,40357,263431,1
3653,0,40613,263687,1
3654,0,40869,263943,1
3655,0,41125,264199,1
3656,0,41148,264222,1
3657,0,41167,264241,1
3658,0,41183,264257,1
3659,1,41195,264269,1
3660,0,41209,264283,1
3661,0,41224,264298,1
3662,0,41480,264554,1
3663,0,41495,264569,1
3664,0,41517,264591,1
3665,0,41538,264612,1
3666,0,41794,264868,1
3667,1,41805,264879,1
3668,0,41822,264896,1
3669,0,42078,265152,1
3670,0,42094,265168,1
3671,0,42119,265193,1
3672,0,42375,265449,1
3673,0,42390,265464,1
3674,1,42398,265472,1
3675,1,42405,265479,1
3676,0,42661,265735,1
3677,0,42675,265749,1
3678,1,42683,265757,1
3679,0,42699,265773,1
3680,0,42955,266029,1
3681,0,42972,266046,1
3682,1,42982,266056,1
3683,0,43238,266312,1
3684,0,43260,266334,1
3685,1,43269,266343,1
3686,0,43298,266372,1
3687,0,43554,266628,1
3688,0,43810,266884,1
3689,0,43827,266901,1
3690,0,43869,266943,1
3691,1,43941,267015,1
3692,0,43977,267051,1
3693,1,43988,267062,1
3694,0,44036,267110,1
3695,0,44292,267366,1
3696,1,44323,267397,1
3697,1,44384,267458,1
3698,0,44401,267475,1
3699,0,44418,267492,1
3700,0,44433,267507,1
3701,0,44460,267534,1
3702,1,44475,267549,1
3703,1,44557,267631,1
3704,0,44572,267646,1
3705,1,44612,267686,1
3706,0,44628,267702,1
3707,1,44881,267955,1
3708,1,44884,267958,1
3709,1,44887,267961,1
3710,0,44903,267977,1
3711,0,45159,268233,1
3712,0,45415,268489,1
3713,0,45671,268745,1
3714,0,45688,268762,1
3715,1,45713,268787,1
3716,0,45741,268815,1
3717,1,45763,268837,1
3718,0,45780,268854,1
3719,0,46036,269110,1
3720,0,46053,269127,1
3721,0,46309,269383,1
3722,0,46565,269639,1
3723,0,46821,269895,1
3724,1,46837,269911,1
3725,0,47093,270167,1
3726,0,47109,270183,1
3727,0,47131,270205,1
3728,0,47153,270227,1
3729,0,47168,270242,1
3730,1,47188,270262,1
3731,1,47238,270312,1
3732,0,47254,270328,1
3733,0,47510,270584,1
3734,1,47570,270644,1
3735,0,47587,270661,1
3736,0,47610,270684,1
3737,0,47625,270699,1
3738,1,47689,270763,1
3739,0,47945,271019,1
3740,0,48201,271275,1
3741,0,48217,271291,1
3742,0,48234,271308,1
3743,0,48490,271564,1
3744,0,48746,271820,1
3745,0,49002,272076,1
3746,0,49258,272332,1
3747,1,49267,272341,1
3748,0,49287,272361,1
3749,0,49307,272381,1
3750,0,49324,272398,1
3751,0,49339,272413,1
3752,0,49595,272669,1
3753,1,49656,272730,1
3754,0,49912,272986,1
3755,0,50168,273242,1
3756,1,50171,273245,1
3757,0,50186,273260,1
3758,0,50291,273365,1
3759,0,50325,273399,1
3760,0,50581,273655,1
3761,0,50837,273911,1
3762,1,50857,273931,1
3763,1,50876,273950,1
3764,0,51132,274206,1
3765,0,51388,274462,1
3766,0,51644,274718,1
3767,1,51645,274719,1
3768,1,51656,274730,1
3769,0,51671,274745,1
3770,0,51687,274761,1
3771,0,51704,274778,1
3772,0,51719,274793,1
3773,0,51737,274811,1
3774,0,51993,275067,1
3775,0,52009,275083,1
3776,1,52063,275137,1
3777,1,52073,275147,1
3778,0,52091,275165,1
3779,0,52107,275181,1
3780,0,52125,275199,1
3781,0,52381,275455,1
3782,0,52398,275472,1
3783,0,52654,275728,1
3784,0,52671,275745,1
3785,0,52686,275760,1
3786,0,52704,275778,1
3787,1,52715,275789,1
3788,0,52971,276045,1
3789,0,53227,276301,1
3790,1,53229,276303,1
3791,0,53246,276320,1
3792,0,53502,276576,1
3793,0,53758,276832,1
3794,0,53773,276847,1
3795,1,53792,276866,1
3796,0,53807,276881,1
3797,0,54063,277137,1
3798,1,54078,277152,1
3799,0,54096,277170,1
3800,0,54112,277186,1
3801,1,54123,277197,1
3802,0,54379,277453,1
3803,0,54401,277475,1
3804,0,54419,277493,1
3805,0,54675,277749,1
3806,0,54931,278005,1
3807,0,54978,278052,1
3808,0,54995,278069,1
3809,0,55012,278086,1
3810,0,55026,278100,1
3811,1,55041,278115,1
3812,0,55058,278132,1
3813,0,55314,278388,1
3814,1,55332,278406,1
3815,0,55588,278662,1
3816,0,55708,278782,1
3817,0,55754,278828,1
3818,0,56010,279084,1
3819,0,56044,279118,1
3820,0,56300,279374,1
3821,0,56320,279394,1
3822,1,56463,279537,1
3823,0,56719,279793,1
3824,0,56736,279810,1
3825,0,56753,279827,1
3826,0,57009,280083,1
3827,0,57024,280098,1
3828,0,57280,280354,1
3829,0,57536,280610,1
3830,1,57538,280612,1
3831,1,57549,280623,1
3832,0,57569,280643,1
3833,1,57574,280648,1
3834,0,57591,280665,1
3835,0,57847,280921,1
3836,1,57922,280996,1
3837,0,58178,281252,1
3838,0,58434,281508,1
3839,1,58446,281520,1
3840,0,58464,281538,1
3841,1,58713,281787,1
3842,1,58769,281843,1
3843,0,58785,281859,1
3844,0,59041,282115,1
3845,0,59072,282146,1
3846,1,59086,282160,1
3847,1,59096,282170,1
3848,1,59108,282182,1
3849,1,59125,282199,1
3850,0,59140,282214,1
3851,0,59396,282470,1
3852,0,59414,282488,1
3853,1,59610,282684,1
3854,0,59866,282940,1
3855,0,59887,282961,1
3856,1,60025,283099,1
3857,0,60281,283355,1
3858,0,60537,283611,1
3859,1,60547,283621,1
3860,1,60601,283675,1
3861,0,60857,283931,1
3862,1,60867,283941,1
3863,0,60884,283958,1
3864,0,61140,284214,1
3865,0,61396,284470,1
3866,0,61652,284726,1
3867,0,61667,284741,1
3868,0,61689,284763,1
3869,0,61945,285019,1
3870,0,61961,285035,1
3871,1,61970,285044,1
3872,0,61993,285067,1
3873,0,62010,285084,1
3874,0,62266,285340,1
3875,0,62522,285596,1
3876,0,62540,285614,1
3877,1,62579,285653,1
3878,1,62588,285662,1
3879,0,62623,285697,1
3880,0,62650,285724,1
3881,1,62659,285733,1
3882,0,62679,285753,1
3883,0,62696,285770,1
3884,0,62716,285790,1
3885,0,62734,285808,1
3886,1,62788,285862,1
3887,0,62919,285993,1
3888,0,62937,286011,1
3889,0,62953,286027,1
3890,0,63209,286283,1
3891,0,63227,286301,1
3892,0,63483,286557,1
3893,0,63739,286813,1
3894,0,63758,286832,1
3895,0,63774,286848,1
3896,0,63798,286872,1
3897,0,63817,286891,1
3898,0,64073,287147,1
3899,1,64079,287153,1
3900,0,64335,287409,1
3901,0,64353,287427,1
3902,1,64383,287457,1
3903,0,64639,287713,1
3904,1,64648,287722,1
3905,0,64664,287738,1
3906,1,64672,287746,1
3907,1,64690,287764,1
3908,0,64946,288020,1
3909,0,65202,288276,1
3910,0,65458,288532,1
3911,0,65473,288547,1
3912,0,65729,288803,1
3913,0,65985,289059,1
3914,0,66003,289077,1
3915,0,66259,289333,1
3916,0,66515,289589,1
3917,0,66530,289604,1
3918,0,66786,289860,1
3919,0,66801,289875,1
3920,0,66819,289893,1
3921,0,67075,290149,1
3922,0,67124,290198,1
3923,0,67145,290219,1
3924,0,67401,290475,1
3925,0,67657,290731,1
3926,0,67676,290750,1
3927,0,67932,291006,1
3928,0,67950,291024,1
3929,1,67958,291032,1
3930,0,68214,291288,1
3931,0,68234,291308,1
3932,0,68490,291564,1
3933,0,68507,291581,1
3934,1,68525,291599,1
3935,1,68668,291742,1
3936,0,68924,291998,1
3937,1,68976,292050,1
3938,0,69030,292104,1
3939,1,69058,292132,1
3940,0,69079,292153,1
3941,0,69096,292170,1
3942,1,69106,292180,1
3943,0,69124,292198,1
3944,0,69143,292217,1
3945,0,69399,292473,1
3946,0,69417,292491,1
3947,0,69439,292513,1
3948,0,69695,292769,1
3949,0,69951,293025,1
3950,1,69958,293032,1
3951,0,69974,293048,1
3952,0,69994,293068,1
3953,0,70013,293087,1
3954,0,70032,293106,1
3955,0,70050,293124,1
3956,0,70070,293144,1
3957,0,70326,293400,1
3958,0,70344,293418,1
3959,1,70346,293420,1
3960,1,70361,293435,1
3961,0,70379,293453,1
3962,1,70393,293467,1
3963,0,70649,293723,1
3964,0,70905,293979,1
3965,0,71161,294235,1
3966,1,71171,294245,1
3967,0,71188,294262,1
3968,0,71210,294284,1
3969,0,71243,294317,1
3970,0,71262,294336,1
3971,1,71267,294341,1
3972,0,71285,294359,1
3973,1,71327,294401,1
3974,1,71412,294486,1
3975,0,71428,294502,1
3976,1,71438,294512,1
3977,1,71447,294521,1
3978,0,71471,294545,1
3979,0,71727,294801,1
3980,0,71750,294824,1
3981,0,72006,295080,1
3982,0,72038,295112,1
3983,1,72045,295119,1
3984,0,72301,295375,1
3985,0,72320,295394,1
3986,0,72338,295412,1
3987,0,72355,295429,1
3988,0,72376,295450,1
3989,0,72397,295471,1
3990,1,72409,295483,1
3991,0,72428,295502,1
3992,1,72440,295514,1
3993,0,72696,295770,1
3994,0,72714,295788,1
3995,0,72732,295806,1
3996,0,72988,296062,1
3997,0,73244,296318,1
3998,0,73263,296337,1
3999,0,73285,296359,1
4000,1,73295,296369,1
4001,0,73313,296387,1
4002,1,73321,296395,1
4003,1,73406,296480,1
4004,1,73418,296492,1
4005,1,73430,296504,1
4006,1,73444,296518,1
4007,0,73700,296774,1
4008,1,73711,296785,1
4009,0,73747,296821,1
4010,1,73749,296823,1
4011,0,73771,296845,1
4012,0,74027,297101,1
4013,1,74049,297123,1
4014,0,74305,297379,1
4015,0,74561,297635,1
4016,1,74588,297662,1
4017,1,74651,297725,1
4018,0,74668,297742,1
4019,0,74924,297998,1
4020,0,74941,298015,1
4021,0,74957,298031,1
4022,0,75213,298287,1
4023,1,75258,298332,1
4024,0,75287,298361,1
4025,0,75319,298393,1
4026,0,75345,298419,1
4027,0,75365,298439,1
4028,0,75386,298460,1
4029,1,75401,298475,1
4030,1,75410,298484,1
4031,0,75432,298506,1
4032,1,75441,298515,1
4033,0,75463,298537,1
4034,0,75481,298555,1
4035,0,75737,298811,1
4036,0,75754,298828,1
4037,0,75775,298849,1
4038,0,75796,298870,1
4039,0,75818,298892,1
4040,0,76074,299148,1
4041,0,76094,299168,1
4042,1,76100,299174,1
4043,0,76356,299430,1
4044,1,76371,299445,1
4045,0,76387,299461,1
4046,0,76402,299476,1
4047,0,76421,299495,1
4048,0,76438,299512,1
4049,0,76457,299531,1
4050,0,76713,299787,1
4051,0,76969,300043,1
4052,0,76992,300066,1
4053,0,77017,300091,1
4054,0,77036,300110,1
4055,0,77292,300366,1
4056,0,77310,300384,1
4057,1,77396,300470,1
4058,1,77414,300488,1
4059,0,77670,300744,1
4060,1,77690,300764,1
4061,0,77710,300784,1
4062,0,77727,300801,1
4063,0,77983,301057,1
4064,0,78003,301077,1
4065,1,78009,301083,1
4066,0,78025,301099,1
4067,0,78069,301143,1
4068,0,78325,301399,1
4069,1,78338,301412,1
4070,0,78356,301430,1
4071,1,78366,301440,1
4072,0,78388,301462,1
4073,0,78644,301718,1
4074,0,78900,301974,1
4075,0,78917,301991,1
4076,0,79173,302247,1
4077,0,79429,302503,1
4078,0,79685,302759,1
4079,0,79710,302784,1
4080,0,79728,302802,1
4081,0,79752,302826,1
4082,0,80008,303082,1
4083,0,80024,303098,1
4084,0,80280,303354,1
4085,0,80302,303376,1
4086,0,80328,303402,1
4087,0,80584,303658,1
4088,0,80840,303914,1
4089,0,81096,304170,1
4090,0,81352,304426,1
4091,0,81371,304445,1
4092,0,81627,304701,1
4093,1,81640,304714,1
4094,0,81660,304734,1
4095,1,81682,304756,1
4096,0,81698,304772,1
4097,0,81730,304804,1
4098,1,81762,304836,1
4099,0,82018,305092,1
4100,0,82034,305108,1
4101,1,82055,305129,1
4102,0,82072,305146,1
4103,0,82328,305402,1
4104,0,82348,305422,1
4105,0,82604,305678,1
4106,0,82860,305934,1
4107,1,82870,305944,1
4108,0,83126,306200,1
4109,0,83382,306456,1
4110,1,83395,306469,1
4111,0,83412,306486,1
4112,0,83668,306742,1
4113,0,83924,306998,1
4114,0,83939,307013,1
4115,1,83948,307022,1
4116,0,84204,307278,1
4117,0,84460,307534,1
4118,0,84716,307790,1
4119,1,84727,307801,1
4120,0,84747,307821,1
4121,0,84767,307841,1
4122,1,84775,307849,1
4123,0,84800,307874,1
4124,0,84872,307946,1
4125,0,84891,307965,1
4126,0,85147,308221,1
4127,0,85403,308477,1
4128,0,85659,308733,1
4129,0,85915,308989,1
4130,0,85935,309009,1
4131,1,85944,309018,1
4132,0,85970,309044,1
4133,1,85979,309053,1
4134,0,86002,309076,1
4135,0,86022,309096,1
4136,1,86032,309106,1
4137,0,86288,309362,1
4138,1,86309,309383,1
4139,1,86324,309398,1
4140,0,86353,309427,1
4141,0,86370,309444,1
4142,1,86380,309454,1
4143,0,86636,309710,1
4144,0,86656,309730,1
4145,1,86670,309744,1
4146,0,86926,310000,1
4147,0,86942,310016,1
4148,1,86943,310017,1
4149,1,86955,310029,1
4150,1,86974,310048,1
4151,1,87164,310238,1
4152,1,87173,310247,1
4153,1,87204,310278,1
4154,0,87222,310296,1
4155,0,87241,310315,1
4156,1,87423,310497,1
4157,0,87440,310514,1
4158,0,87461,310535,1
4159,0,87717,310791,1
4160,0,87973,311047,1
4161,1,87984,311058,1
4162,0,88240,311314,1
4163,0,88261,311335,1
4164,0,88286,311360,1
4165,0,88542,311616,1
4166,1,88554,311628,1
4167,0,88810,311884,1
4168,0,88827,311901,1
4169,0,89083,312157,1
4170,0,89339,312413,1
4171,1,89404,312478,1
4172,1,89421,312495,1
4173,1,89500,312574,1
4174,0,89756,312830,1
4175,0,89771,312845,1
4176,1,89781,312855,1
4177,1,89874,312948,1
4178,0,90130,313204,1
4179,1,90142,313216,1
4180,0,90157,313231,1
4181,1,90177,313251,1
4182,0,90433,313507,1
4183,0,90689,313763,1
4184,0,90945,314019,1
4185,0,91201,314275,1
4186,1,91241,314315,1
4187,0,91264,314338,1
4188,1,91271,314345,1
4189,0,91302,314376,1
4190,1,91317,314391,1
4191,0,91336,314410,1
4192,1,91356,314430,1
4193,1,91368,314442,1
4194,0,91389,314463,1
4195,1,91407,314481,1
4196,0,91663,314737,1
4197,0,91697,314771,1
4198,1,91725,314799,1
4199,0,91750,314824,1
4200,0,91768,314842,1
4201,0,91782,314856,1
4202,0,91803,314877,1
4203,1,91827,314901,1
4204,0,91842,314916,1
4205,0,91856,314930,1
4206,0,92112,315186,1
4207,0,92368,315442,1
4208,0,92624,315698,1
4209,0,92649,315723,1
4210,0,92671,315745,1
4211,0,92687,315761,1
4212,0,92714,315788,1
4213,0,92731,315805,1
4214,1,92738,315812,1
4215,0,92994,316068,1
4216,1,93009,316083,1
4217,0,93265,316339,1
4218,1,93278,316352,1
4219,0,93298,316372,1
4220,1,93303,316377,1
4221,0,93406,316480,1
4222,1,93415,316489,1
4223,1,93422,316496,1
4224,0,93444,316518,1
4225,0,93700,316774,1
4226,0,93956,317030,1
4227,1,93970,317044,1
4228,0,94226,317300,1
4229,1,94238,317312,1
4230,0,94280,317354,1
4231,0,94299,317373,1
4232,1,94309,317383,1
4233,0,94328,317402,1
4234,0,94584,317658,1
4235,1,94594,317668,1
4236,0,94620,317694,1
4237,1,94627,317701,1
4238,0,94883,317957,1
4239,1,94899,317973,1
4240,0,94925,317999,1
4241,0,95181,318255,1
4242,0,95227,318301,1
4243,0,95243,318317,1
4244,1,95276,318350,1
4245,0,95295,318369,1
4246,0,95311,318385,1
4247,1,95323,318397,1
4248,0,95348,318422,1
4249,0,95374,318448,1
4250,1,95378,318452,1
4251,0,95634,318708,1
4252,1,95647,318721,1
4253,0,95688,318762,1
4254,0,95944,319018,1
4255,0,95969,319043,1
4256,0,96225,319299,1
4257,0,96248,319322,1
4258,0,96265,319339,1
4259,0,96285,319359,1
4260,0,96315,319389,1
4261,0,96350,319424,1
4262,0,96606,319680,1
4263,0,96641,319715,1
4264,1,96667,319741,1
4265,1,96687,319761,1
4266,1,96705,319779,1
4267,0,96726,319800,1
4268,0,96747,319821,1
4269,0,96778,319852,1
4270,1,96789,319863,1
4271,0,96811,319885,1
4272,0,97067,320141,1
4273,0,97323,320397,1
4274,0,97347,320421,1
4275,0,97365,320439,1
4276,0,97383,320457,1
4277,1,97421,320495,1
4278,0,97677,320751,1
4279,0,97698,320772,1
4280,0,97954,321028,1
4281,1,97964,321038,1
4282,0,97985,321059,1
4283,1,97998,321072,1
4284,1,98006,321080,1
4285,1,98024,321098,1
4286,0,98280,321354,1
4287,1,98291,321365,1
4288,0,98547,321621,1
4289,0,98564,321638,1
4290,0,98583,321657,1
4291,0,98599,321673,1
4292,1,98615,321689,1
4293,0,98635,321709,1
4294,0,98891,321965,1
4295,0,99147,322221,1
4296,0,99403,322477,1
4297,0,99423,322497,1
4298,0,99442,322516,1
4299,1,99465,322539,1
4300,1,99478,322552,1
4301,1,99493,322567,1
4302,0,99591,322665,1
4303,1,99602,322676,1
4304,0,99616,322690,1
4305,0,99632,322706,1
4306,0,99888,322962,1
4307,0,99904,322978,1
4308,0,99922,322996,1
4309,0,100178,323252,1
4310,0,100434,323508,1
4311,0,100690,323764,1
4312,0,100713,323787,1
4313,0,100969,324043,1
4314,0,101225,324299,1
4315,0,101481,324555,1
4316,1,101496,324570,1
4317,0,101534,324608,1
4318,0,101790,324864,1
4319,1,101809,324883,1
4320,0,101842,324916,1
4321,1,101881,324955,1
4322,0,102137,325211,1
4323,1,102194,325268,1
4324,0,102211,325285,1
4325,0,102434,325508,1
4326,1,102449,325523,1
4327,0,102705,325779,1
4328,0,102722,325796,1
4329,1,102731,325805,1
4330,0,102806,325880,1
4331,0,102824,325898,1
4332,0,103080,326154,1
4333,0,103099,326173,1
4334,1,103167,326241,1
4335,0,103186,326260,1
4336,1,103197,326271,1
4337,0,103453,326527,1
4338,1,103470,326544,1
4339,0,103491,326565,1
4340,0,103747,326821,1
4341,1,103752,326826,1
4342,0,103930,327004,1
4343,0,103945,327019,1
4344,0,103965,327039,1
4345,0,103982,327056,1
4346,0,104238,327312,1
4347,0,104327,327401,1
4348,1,104378,327452,1
4349,0,104634,327708,1
4350,0,104890,327964,1
4351,0,104908,327982,1
4352,1,104920,327994,1
4353,0,104935,328009,1
4354,0,105191,328265,1
4355,0,105209,328283,1
4356,0,105225,328299,1
4357,1,105234,328308,1
4358,0,105251,328325,1
4359,0,105507,328581,1
4360,1,105537,328611,1
4361,0,105552,328626,1
4362,1,105581,328655,1
4363,1,105597,328671,1
4364,0,105612,328686,1
4365,0,105632,328706,1
4366,1,105697,328771,1
4367,0,105953,329027,1
4368,0,105980,329054,1
4369,0,105999,329073,1
4370,0,106017,329091,1
4371,1,106038,329112,1
4372,1,106072,329146,1
4373,0,106328,329402,1
4374,1,106341,329415,1
4375,1,106584,329658,1
4376,0,106601,329675,1
4377,0,106857,329931,1
4378,0,106875,329949,1
4379,1,106904,329978,1
4380,0,106921,329995,1
4381,0,106944,330018,1
4382,0,107200,330274,1
4383,0,107456,330530,1
4384,1,107464,330538,1
4385,1,107523,330597,1
4386,1,107532,330606,1
4387,1,107542,330616,1
4388,1,107559,330633,1
4389,0,107576,330650,1
4390,0,107594,330668,1
4391,1,107624,330698,1
4392,1,107633,330707,1
4393,0,107651,330725,1
4394,1,107671,330745,1
4395,0,107685,330759,1
4396,0,107748,330822,1
4397,0,107767,330841,1
4398,0,107783,330857,1
4399,0,108039,331113,1
4400,0,108060,331134,1
4401,0,108078,331152,1
4402,0,108150,331224,1
4403,0,108168,331242,1
4404,0,108190,331264,1
4405,0,108223,331297,1
